Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel2
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel3
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel4
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel5
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel6
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel7
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel8
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel9
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel10
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel11
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel12
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel13
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel14
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel15
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel16
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel17
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel18
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel19
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel20
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel21
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel22
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel23
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel24
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel25
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel26
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel27
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel28
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel29
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel30
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel31
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel32
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel33
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel34
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel35
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel36
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel37
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel38
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel39
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel40
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel41
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel42
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel43
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel44
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel45
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel46
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel47
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel48
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel49
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel50
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel51
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel52
Removed Member From Class: ClassName=LED_Channel Member=U_LED_Channel53
Change Component Designator: OldDesignator=C*_1 NewDesignator=C_1
Change Component Designator: OldDesignator=C*_2 NewDesignator=C_2
Change Component Designator: OldDesignator=C*_3 NewDesignator=C_3
Change Component Designator: OldDesignator=C*_4 NewDesignator=C_4
Change Component Designator: OldDesignator=C*_5 NewDesignator=C_5
Change Component Designator: OldDesignator=C*_6 NewDesignator=C_6
Change Component Designator: OldDesignator=C*_7 NewDesignator=C_7
Change Component Designator: OldDesignator=C*_8 NewDesignator=C_8
Change Component Designator: OldDesignator=C*_9 NewDesignator=C_9
Change Component Designator: OldDesignator=C*_10 NewDesignator=C_10
Change Component Designator: OldDesignator=C*_11 NewDesignator=C_11
Change Component Designator: OldDesignator=C*_U_LED_Channel1 NewDesignator=C_64
Change Component Designator: OldDesignator=C*_U_LED_Channel2 NewDesignator=C_63
Change Component Designator: OldDesignator=C*_U_LED_Channel3 NewDesignator=C_62
Change Component Designator: OldDesignator=C*_U_LED_Channel4 NewDesignator=C_61
Change Component Designator: OldDesignator=C*_U_LED_Channel5 NewDesignator=C_60
Change Component Designator: OldDesignator=C*_U_LED_Channel6 NewDesignator=C_59
Change Component Designator: OldDesignator=C*_U_LED_Channel7 NewDesignator=C_58
Change Component Designator: OldDesignator=C*_U_LED_Channel8 NewDesignator=C_57
Change Component Designator: OldDesignator=C*_U_LED_Channel9 NewDesignator=C_56
Change Component Designator: OldDesignator=C*_U_LED_Channel10 NewDesignator=C_55
Change Component Designator: OldDesignator=C*_U_LED_Channel11 NewDesignator=C_54
Change Component Designator: OldDesignator=C*_U_LED_Channel12 NewDesignator=C_53
Change Component Designator: OldDesignator=C*_U_LED_Channel13 NewDesignator=C_52
Change Component Designator: OldDesignator=C*_U_LED_Channel14 NewDesignator=C_51
Change Component Designator: OldDesignator=C*_U_LED_Channel15 NewDesignator=C_50
Change Component Designator: OldDesignator=C*_U_LED_Channel16 NewDesignator=C_49
Change Component Designator: OldDesignator=C*_U_LED_Channel17 NewDesignator=C_48
Change Component Designator: OldDesignator=C*_U_LED_Channel18 NewDesignator=C_47
Change Component Designator: OldDesignator=C*_U_LED_Channel19 NewDesignator=C_46
Change Component Designator: OldDesignator=C*_U_LED_Channel20 NewDesignator=C_45
Change Component Designator: OldDesignator=C*_U_LED_Channel21 NewDesignator=C_44
Change Component Designator: OldDesignator=C*_U_LED_Channel22 NewDesignator=C_43
Change Component Designator: OldDesignator=C*_U_LED_Channel23 NewDesignator=C_42
Change Component Designator: OldDesignator=C*_U_LED_Channel24 NewDesignator=C_41
Change Component Designator: OldDesignator=C*_U_LED_Channel25 NewDesignator=C_40
Change Component Designator: OldDesignator=C*_U_LED_Channel26 NewDesignator=C_39
Change Component Designator: OldDesignator=C*_U_LED_Channel27 NewDesignator=C_38
Change Component Designator: OldDesignator=C*_U_LED_Channel28 NewDesignator=C_37
Change Component Designator: OldDesignator=C*_U_LED_Channel29 NewDesignator=C_36
Change Component Designator: OldDesignator=C*_U_LED_Channel30 NewDesignator=C_35
Change Component Designator: OldDesignator=C*_U_LED_Channel31 NewDesignator=C_34
Change Component Designator: OldDesignator=C*_U_LED_Channel32 NewDesignator=C_33
Change Component Designator: OldDesignator=C*_U_LED_Channel33 NewDesignator=C_32
Change Component Designator: OldDesignator=C*_U_LED_Channel34 NewDesignator=C_31
Change Component Designator: OldDesignator=C*_U_LED_Channel35 NewDesignator=C_30
Change Component Designator: OldDesignator=C*_U_LED_Channel36 NewDesignator=C_29
